                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6674,                 3.4686,                 1.1945,                0.00807,                0.33548,                0.06058,                0.02954,                 1.5419,                 3.8996,                 1.1241,             0.00011817,             0.00011817,             0.00011817
                      2,                 1.7234,                 2.7896,                 1.2127,                0.33388,                0.12229,                0.16597,                0.09128,                 1.6396,                 3.5561,                 1.1954,             0.00023733,             0.00023733,             0.00023733
                      3,                 1.7412,                 2.3196,                 1.2243,                0.59774,                0.07128,                0.19149,                0.09773,                 1.7438,                 3.3218,                 1.2571,             0.00034809,             0.00034809,             0.00034809
                      4,                 1.6781,                 2.1081,                 1.2204,                0.46349,                0.18528,                0.27992,                0.14383,                 1.7276,                 2.8416,                  1.246,             0.00045045,             0.00045045,             0.00045045
                      5,                 1.6444,                 1.8684,                 1.1907,                0.44801,                0.26512,                0.36677,                0.19653,                 1.7131,                 2.4781,                 1.2186,             0.00054442,             0.00054442,             0.00054442
                      6,                 1.6257,                 1.7219,                 1.1786,                0.59496,                0.21037,                0.36358,                0.19904,                 1.7111,                 2.7132,                 1.2224,             0.00062998,             0.00062998,             0.00062998
                      7,                  1.577,                 1.6634,                 1.1808,                0.51082,                0.29466,                 0.3451,                0.19314,                 1.7203,                  2.444,                 1.2034,             0.00070715,             0.00070715,             0.00070715
                      8,                  1.626,                 1.6153,                 1.1643,                0.41852,                0.41735,                0.37093,                0.18782,                 1.7567,                 2.1695,                 1.2376,             0.00069902,             0.00069902,             0.00069902
                      9,                 1.5784,                 1.5461,                 1.1647,                0.53691,                0.41197,                 0.4295,                0.23117,                 1.7513,                 2.0182,                 1.2472,             0.00066902,             0.00066902,             0.00066902
                     10,                 1.5355,                 1.5255,                 1.1506,                0.52595,                0.48147,                0.49339,                0.26265,                 1.7701,                 1.8802,                  1.224,             0.00063903,             0.00063903,             0.00063903
                     11,                 1.4931,                 1.4584,                 1.1409,                 0.6027,                0.47978,                0.52297,                 0.2807,                 1.7473,                 1.6724,                 1.2458,             0.00060903,             0.00060903,             0.00060903
                     12,                 1.4852,                 1.3778,                 1.1196,                0.53804,                0.53455,                 0.5188,                0.27503,                  1.665,                 1.6769,                 1.2053,             0.00057903,             0.00057903,             0.00057903
                     13,                  1.533,                 1.3588,                 1.1373,                0.63353,                0.51603,                0.55889,                0.30931,                 1.6271,                 1.5247,                  1.198,             0.00054904,             0.00054904,             0.00054904
                     14,                 1.4931,                 1.3282,                 1.1264,                0.62699,                0.57698,                 0.5842,                0.30709,                 1.6752,                 1.5729,                 1.2082,             0.00051904,             0.00051904,             0.00051904
                     15,                 1.5172,                 1.3306,                 1.1292,                0.64381,                0.54201,                0.59488,                0.31678,                 1.6692,                 1.4589,                 1.2012,             0.00048904,             0.00048904,             0.00048904
                     16,                 1.4694,                 1.2554,                 1.1141,                0.63033,                0.52137,                 0.5733,                0.31282,                 1.6455,                 1.5212,                 1.2003,             0.00045904,             0.00045904,             0.00045904
                     17,                 1.4443,                  1.224,                 1.0947,                0.63387,                0.59874,                0.61153,                0.33944,                 1.6201,                 1.4633,                 1.1836,             0.00042905,             0.00042905,             0.00042905
                     18,                 1.4278,                 1.2028,                 1.1092,                0.71125,                0.59248,                0.64857,                0.36072,                 1.5788,                 1.3142,                 1.1761,             0.00039905,             0.00039905,             0.00039905
                     19,                 1.4094,                 1.1731,                 1.0925,                0.73792,                0.55472,                0.64844,                0.36391,                 1.5939,                 1.3343,                 1.1851,             0.00036905,             0.00036905,             0.00036905
                     20,                 1.3951,                 1.1671,                 1.0992,                0.73038,                0.59679,                0.66631,                0.38105,                 1.5766,                 1.3053,                  1.177,             0.00033906,             0.00033906,             0.00033906
                     21,                 1.3381,                 1.1935,                 1.0745,                0.72433,                0.58235,                0.64181,                0.36985,                  1.569,                 1.4644,                 1.1512,             0.00030906,             0.00030906,             0.00030906
                     22,                  1.336,                 1.1195,                 1.0605,                 0.7027,                0.56812,                0.63454,                0.35606,                 1.5567,                 1.3852,                 1.1636,             0.00027906,             0.00027906,             0.00027906
                     23,                 1.3181,                  1.094,                  1.069,                0.66229,                0.61733,                  0.663,                0.37127,                 1.5675,                 1.3308,                 1.1581,             0.00024907,             0.00024907,             0.00024907
                     24,                 1.2854,                 1.0475,                 1.0463,                0.66259,                0.64659,                0.68325,                0.38187,                 1.5587,                   1.27,                 1.1594,             0.00021907,             0.00021907,             0.00021907
                     25,                 1.2785,                 1.0301,                 1.0433,                0.71631,                0.61792,                0.68708,                0.38709,                 1.5784,                 1.2645,                 1.1765,             0.00018907,             0.00018907,             0.00018907
                     26,                 1.2673,                 1.0124,                 1.0432,                0.76796,                0.61429,                0.70184,                0.39879,                  1.578,                 1.2462,                 1.1593,             0.00015907,             0.00015907,             0.00015907
                     27,                 1.2721,                0.99556,                 1.0389,                0.76547,                0.63829,                0.70566,                0.39942,                 1.5376,                 1.2191,                 1.1534,             0.00012908,             0.00012908,             0.00012908
                     28,                 1.2579,                0.98058,                 1.0327,                 0.7024,                0.68357,                0.70816,                0.41169,                 1.5265,                 1.1938,                 1.1478,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                 1.2371,                 0.9658,                 1.0241,                 0.6945,                 0.6663,                0.70586,                0.40711,                 1.5331,                 1.1905,                 1.1494,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                  1.238,                0.96443,                 1.0244,                0.75409,                0.62906,                0.70969,                0.41024,                 1.5356,                 1.1781,                  1.147,             3.9087e-05,             3.9087e-05,             3.9087e-05
